Id	Name	Group	Description
0x002C74F1	3Dsmax Shim Layer Control	01 - Compatibility	3DSMax Shim Layer Control (D3D9 Vista/Win7)
0x00B82343	App Compat Shim	01 - Compatibility	A shim for DX1x app bugs workarounds
0x7051E5F5	Compat	01 - Compatibility	Controls the predefined driver behavior associated with "Compat". This setting is used for compatibility handling, application-specific workarounds, or executable matching behavior.
0x109DB0D3	G-SYNC Compatibility	02 - Sync and Refresh	Controls the NVIDIA driver behavior associated with "G-SYNC Compatibility". This setting is used for compatibility handling, application-specific workarounds, or executable matching behavior.
0x20B812C1	OpenGL App SET WGL Compatibility Hwnd Thread Mismatch	10 - OpenGL	Do accept opengl calls with HDCs created by another process than the current one
0x203D3FC9	OpenGL GLS Compatibility	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL GLS Compatibility". This setting is used for compatibility handling, application-specific workarounds, or executable matching behavior.
0x20D5FDC4	OpenGL Multisample Compatibility	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Multisample Compatibility". This setting is used for compatibility handling, application-specific workarounds, or executable matching behavior.
0x10F9DC84	Shim Rendering Mode Options Per Application For Optimus	01 - Compatibility	Rendering Mode Options for shim layer per application
0x0015F512	Async9 Present Mode	02 - Sync and Refresh	Enable or disable asynchronous presents when the multithreaded driver is used
0x10835006	Background Application Max Frame Rate For Nvcpl	02 - Sync and Refresh	Background Application Max Frame Rate for NVCPL
0x201F619F	Buffer Flipping Mode	02 - Sync and Refresh	Controls the NVIDIA driver behavior associated with "Buffer Flipping Mode". This setting affects presentation timing, frame pacing, refresh policy, or synchronization behavior.
0x1083502F	Configure Dynamic FPS Feature Mode As Dynamic Frame Rate Limiter Mode	02 - Sync and Refresh	Controls the NVIDIA driver behavior associated with "Configure Dynamic FPS Feature Mode As Dynamic Frame Rate Limiter Mode". This setting affects presentation timing, frame pacing, refresh policy, or synchronization behavior.
0x10834FEE	Frame Rate Limiter	02 - Sync and Refresh	Framerate Limiter parameters, bit 31 to enable and LOWBYTE set to frames/sec
0x10834FFF	Frame Rate Limiter 2 Control	02 - Sync and Refresh	Framerate Limiter 2 controls (deprecated)
